Species,conservative,liberal,PCO1,PCO2,PCO3,PCO4,DietBreadth,AdultBodyMass_g,AdultForearmLen_mm,HabitatBreadth,LitterSize,GR_Area_km2,GR_MidRangeLat_dd,HuPopDen_Mean_n/km2,Precip_Mean_mm,Temp_Mean_01degC
Glossophaga longirostris,Negative,Negative,-0.750336226,-0.416108849,-0.027204099,0.159596567,3,13.32,38.49,1,0.98,557238.86,7.43,61.03,105.87,251.37
Glossophaga morenoi,Negative,Negative,-0.793338842,-0.453813891,-0.02369853,-0.032904165,3,8.54,34.5,1,1,314356.09,17.76,108.54,109.3,204.46
Glossophaga soricina,Negative,Negative,-0.750166365,-0.415930776,-0.027150177,-0.028650369,3,9.97,35.7,1,1,15465868.32,-2.61,31.15,141.96,230.99
Glyphonycteris behnii,Negative,Negative,NA,NA,NA,NA,2,NA,45.99,1,NA,1043291.01,-13.67,3.59,157.81,232.43
Glyphonycteris daviesi,Negative,Negative,-0.780533321,-0.447951234,-0.031764519,-0.028925649,2,18.61,55.5,1,0.98,4760330.64,-0.31,17.42,181.36,239.36
Glyphonycteris sylvestris,Negative,Negative,-0.747219668,-0.418356641,-0.034003073,-0.03324175,2,8.91,40.5,1,NA,7649954.44,-0.89,36.42,160.43,244.79
Histiotus alienus,Negative,Negative,NA,NA,NA,NA,1,NA,NA,1,NA,442813.05,-30.01,37.22,120.65,171.33
Histiotus laephotis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,974450.52,-17.51,28.16,50.58,61.41
Histiotus macrotus,Negative,Positive,NA,NA,NA,NA,1,11,48.5,2,0.98,1199544.41,-34.61,20.25,41.9,102.01
Histiotus magellanicus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093128.73,-44.88,6.41,55.28,82.95
Histiotus montanus,Positive,Positive,NA,NA,NA,NA,1,NA,47.5,2,NA,2999898.7,-13.69,36.87,91.8,153.34
Histiotus velatus,Negative,Positive,NA,NA,NA,NA,1,11.32,47,1,NA,3459699.44,-21.31,39.53,118.76,214.57
Hylonycteris underwoodi,Negative,Negative,NA,NA,NA,NA,NA,7.5,34,1,0.99,954887.07,14.82,57.53,141.67,228.21
Idionycteris phyllotis,Negative,Negative,0.861508514,-0.270498566,-0.020421212,-0.113412648,NA,12.13,44.49,1,0.99,1388848.49,26.79,45.03,42.28,161.78
Lampronycteris brachyotis,Negative,Negative,NA,NA,NA,NA,2,10.39,39.61,1,0.98,4953546.05,4.26,23.08,167.21,247.8
Lasionycteris noctivagans,Positive,Positive,0.697654441,-0.197459834,-0.029031149,-0.086748542,1,11.02,41.26,1,1.77,10115944.09,43.21,28.14,58.16,77.97
Lasiurus blossevillii,Positive,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,16692765.95,8.3,21.7,108.48,192.35
Lasiurus borealis,Positive,Positive,NA,NA,NA,NA,1,12.33,40.71,1,3.12,2598559.1,36.39,80.18,87.53,119.77
Lasiurus castaneus,Negative,Negative,NA,NA,NA,NA,1,12.51,44.49,1,NA,9516.32,8.04,5.09,200.91,248.37
Lasiurus cinereus,Positive,Positive,1.102732795,-0.380227497,-0.007165162,-0.063598421,1,27.06,54.4,1,1.96,21759652.98,12.6,30.48,75.42,115.7
Lasiurus degelidus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,11081.39,18.11,222.21,172.66,240.33
Lasiurus ebenus,Negative,Negative,NA,NA,NA,NA,NA,14,45.95,NA,NA,94.97,-25.13,10,152,180
Lasiurus ega,Negative,Positive,1.172447819,-0.411512232,-0.003306705,-0.108734261,1,12.2,47.5,1,2.14,17490735.54,-2.08,29.73,130.97,225.67
Lasiurus egregius,Negative,Negative,NA,NA,NA,NA,NA,NA,48.99,1,NA,184920.31,-10.41,55.88,137.5,179.49
Lasiurus insularis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,107157.22,21.51,108.76,103.5,252.34
Lasiurus intermedius,Positive,Positive,NA,NA,NA,NA,NA,22.96,55.08,1,2.97,1863284.42,27.01,66.85,106.12,214.29
Lasiurus minor,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,83334.5,18.77,236.47,104.87,239.16
Lasiurus pfeifferi,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,107157.22,21.51,108.76,103.5,252.34
Lasiurus seminolus,Positive,Positive,NA,NA,NA,NA,1,9.88,NA,1,2.68,1335371.21,34.34,61.61,99.24,175.46
Lasiurus xanthinus,Positive,Positive,1.129531524,-0.392299168,-0.005701997,-0.0593804,NA,NA,NA,NA,NA,1420033.9,25.3,44.71,40.55,182.88
Leptonycteris curasoae,Negative,Negative,-0.77851493,-0.440730752,-0.024680568,-0.13559852,3,25.27,52.79,1,0.99,376465.67,8.44,93,94.09,233.97
Leptonycteris nivalis,Negative,Negative,NA,NA,NA,NA,3,24.26,56.78,1,1,999207.02,22.15,73.37,71.17,197.54
Leptonycteris yerbabuenae,Negative,Negative,NA,NA,NA,NA,NA,22.24,53.37,NA,0.99,1217816.36,23.54,61.3,65.06,196.17
Lichonycteris obscura,Negative,Negative,NA,NA,NA,NA,2,6.5,31.55,1,0.98,7959423.12,0.32,16.09,175.17,244.54
Lionycteris spurrelli,Negative,Negative,-0.754961521,-0.420008674,-0.026427345,-0.147908938,1,8.85,34.99,1,0.98,7325792,-1.25,15.8,173.7,243.13
Lonchophylla bokermanni,Negative,Negative,NA,NA,NA,NA,3,NA,40,1,NA,128491.45,-20.1,54.27,120.37,201.47
Lonchophylla dekeyseri,Negative,Negative,NA,NA,NA,NA,3,NA,35.99,1,NA,101542.34,-15.64,8.26,123.36,207.9
Lonchophylla handleyi,Negative,Negative,-0.765525842,-0.429289572,-0.025610357,-0.031608272,3,NA,45.99,1,NA,527830.95,-8.19,13.58,138.99,183.25
Lonchophylla hesperia,Negative,Negative,NA,NA,NA,NA,3,NA,38.49,1,NA,444717.1,-7.32,58.88,106.41,180.43
Lonchophylla mordax,Negative,Negative,-0.752558151,-0.417903174,-0.026627927,-0.029126265,3,21.56,33.86,1,0.98,3437157.68,-6.65,60.1,126.73,229.03
Lonchophylla robusta,Negative,Negative,-0.772513829,-0.435412206,-0.025029586,-0.029549768,3,13.72,42.5,1,0.98,1033227.44,4.21,60.42,163.18,231.54
Lonchophylla thomasi,Negative,Negative,-0.73532375,-0.402754137,-0.027925328,-0.030215825,3,7.09,32.49,1,0.98,8437401.6,-2.74,14.01,168.67,240.49
Lonchorhina aurita,Negative,Negative,-0.808057599,-0.466438243,-0.021243186,-0.028888101,1,15.38,51.05,1,0.98,11889121.65,-2.7,27.52,156.02,242.68
Lonchorhina fernandezi,Negative,Negative,NA,NA,NA,NA,NA,NA,42.5,1,NA,13450.68,3.92,0.41,231.75,252.25
Lonchorhina inusitata,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228319.27,3.15,1.75,161.86,251.02
Lonchorhina marinkellei,Negative,Negative,NA,NA,NA,NA,NA,17.67,59.5,1,NA,88343.63,1.68,0.12,262.06,245.04
Lonchorhina orinocensis,Negative,Negative,NA,NA,NA,NA,NA,9.04,43,1,NA,716241.64,3.92,7.82,200.58,242.72
Lophostoma brasiliense,Negative,Negative,-0.864154807,-0.517138982,-0.018883214,-0.030909688,2,9.76,36.5,2,0.98,8518317.74,0.05,20.88,162.48,242.69
Lophostoma carrikeri,Negative,Negative,NA,NA,NA,NA,2,22.35,46.5,2,NA,4265102.57,-1.63,2.37,181,252.76
Lophostoma evotis,Negative,Negative,-0.824399432,-0.482166156,-0.022069992,-0.027092631,2,20.58,49.97,1,1,243008.88,17.52,32.69,150.71,244.83
Lophostoma schulzi,Negative,Negative,-0.815986029,-0.474764209,-0.022731893,-0.034099999,2,18.02,42.61,1,NA,634752.23,2.47,1.87,165.59,253.12
Lophostoma silvicolum,Negative,Negative,NA,NA,NA,NA,2,32.29,54.5,2,0.99,13507762.32,-5.65,24.04,148.53,236.1
Macrophyllum macrophyllum,Negative,Negative,-0.813745028,-0.471955794,-0.021680306,-0.037822743,1,8.02,35.63,1,1,13319743.35,-5.26,25.99,152.53,237.4
Macrotus californicus,Negative,Negative,-0.634353317,-0.297450805,-0.008564473,-0.11271172,2,11.83,50.58,1,1,632245.58,29.76,23.55,21.1,179.7
