Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Viverra civettina,Negative,Negative,NA,NA,59.01,-16.49,-24.37,1,12.06,6,1,NA,NA,NA,NA,NA,14075.26,10.87,76.27,521.43,19.25,25.79
Civettictis civetta,Negative,Negative,NA,no,58.97,-16.46,-24.32,1,12.08,6,1,212.14,2.31,28.00,286.24,82.91,14207678.6,-6.02,13.26,36.77,10.13,23.71
Gulo gulo,Negative,Negative,polygamous,no,-55.94,-20.49,-0.3,1,12.79,1,1,821.25,2.84,18.00,756.6,83.64,24495951.71,60.67,5.93,3.75,3.22,-7.21
Arctictis binturong,Negative,Negative,monogamous,no,59.14,-16.57,-24.53,1,13.00,3,1,317.6,2.5,22.70,1034.61,117.57,2913838.88,9.84,104.16,124.73,19.49,22.99
Canis simensis,Negative,Negative,monogamous,yes,-6.82,85.12,-17.34,3,14.36,1,1,365,NA,NA,754.74,69.6,11402.81,9.93,38.99,99.87,8.39,9.90
Neofelis nebulosa,Negative,Negative,monogamous,no,44.71,4.99,65.78,2,14.95,1,2,NA,2.25,17.00,753.48,111.67,2913590.85,11.57,103.26,148.07,17.86,21.83
Cuon alpinus,Negative,Negative,monogamous,yes,-6.82,85.12,-17.34,2,15.80,1,1,365,4.3,16.00,374.18,57.33,10546280.1,23.37,106.52,145,9.53,9.65
Lynx lynx,Negative,Negative,polygamous,no,45.06,5.08,67.27,2,19.30,1,1,365,2.3,26.80,739.52,81.85,23827627.14,48.95,91.58,36.26,3.84,-1.72
Aonyx capensis,Negative,Negative,monogamous,no,-56.5,-20.96,-0.31,2,19.32,6,2,NA,2.62,11.00,371.23,NA,14162350.57,-8.89,12.27,39.28,10.01,23.31
Lycaon pictus,Negative,Negative,monogamous,yes,-6.82,84.96,-17.3,3,22.00,1,1,355.87,8.1,11.00,817.15,27.28,10539675.81,-2.74,18.43,27.77,6.90,23.56
Chrysocyon brachyurus,Negative,Negative,monogamous,no,-6.82,84.98,-17.3,2,23.33,6,1,NA,2,15.00,420.91,119,5038801.01,-17.32,-52.48,23.01,11.02,22.35
