Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.g,DietBreadth,HabitatBreadth,HomeRange.Indiv.km2,InterbirthInterval.d,LitterSize,MaxLongevity.m,PopulationDensity.n.km2,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.mm,Temp.Mean.01degC
Procyon lotor,Positive,Positive,1,1,-50.12,-15.44,-0.21,2,6373.72,6,2,4.9,365,3.06,252,3.29,561.28,104.16,11703644.72,32.99,-94.43,38.77,63.25,111.84
Procyon pygmaeus,Negative,Negative,1,0,-50.12,-15.44,-0.21,1,2958.03,3,1,NA,NA,NA,NA,NA,NA,NA,490.76,20.42,-86.87,67.63,123,256
Profelis aurata,Negative,Negative,0,0,44.74,5.00,65.92,2,11277.17,1,1,NA,NA,2.25,NA,NA,650.61,119.32,4948244.43,2.48,10.96,30.06,138.04,242.44
Proteles cristata,Negative,Negative,1,0,58.63,-16.32,-24.15,1,8139.39,1,1,1.81,NA,2.64,300,0.81,631.37,125.73,6435462.88,-5.74,31.56,28.57,46.96,210.08
Pteronura brasiliensis,Negative,Negative,0,1,-56.40,-20.87,-0.31,3,26000,1,2,102.65,365,2.12,154,NA,NA,120.48,8075624.21,-8.52,-57.02,6.27,162.68,245.44
Puma concolor,Negative,Negative,1,0,45.04,5.07,67.17,2,53954.05,1,1,138.87,577.91,2.76,240,0.02,1034.61,48.46,22350859.07,3.28,-85.07,23.42,109.2,181.93
Puma yagouaroundi,Negative,Negative,1,0,45.04,5.07,67.17,2,6875,3,1,49.11,182.5,2.5,127.83,0.58,1052.28,NA,15093388.56,-3.2,-73.75,25.87,138.93,233.53
Pusa caspica,Negative,Negative,0,0,-42.02,-5.25,0.03,NA,62326.2,2,2,NA,365,1,600,1.47,2199.16,31.32,NA,NA,NA,NA,NA,NA
Pusa hispida,Negative,Negative,1,1,-42.01,-5.25,0.03,2,70963.6,6,2,NA,365,1,552,0.95,2251.64,45.23,NA,NA,NA,NA,NA,NA
Pusa sibirica,Negative,Negative,1,0,-42.01,-5.25,0.03,2,89499.99,1,2,NA,365,1,672,1.58,2276.14,66.11,NA,NA,NA,NA,NA,NA
Rhynchogale melleri,Negative,Negative,NA,NA,62.17,-18.75,-28.84,1,2240.33,6,1,NA,NA,2,NA,NA,NA,NA,2352914.33,-14.93,30.73,28.1,82.32,221.16
